Day,Month,Year,Time of Call,Incident Number,X Coordinate,Y Coordinate,Unitary Authority,Ward,Origin of Call,Incident Category,Property Category,Property Type,Is Primary Fire,Cause of Fire,Is Property Derelict?,Is Property Occupied at the Incident?,Property Normally Occupied?,Is Fire Confined to Chimney?,How Fire Was Discovered?,Main Cause of Fire,Ignition Source,Ignition Source Powered,Item First Damaged,Item Responsible for Spread of Fire,Main action by Other Than FRS,Main Action by FRS,Special Service Type,Road Traffic Collision,False Alarm Reason,Victims Involved?,Were Alarm Systems Present?,No. of fatalities,No. of fire fatalities,No. of injuries,No. of rescues
1,July,2014,01:54:02,005538-01072014,376***,165***,BANES,ABBEY,Person (mobile),Fire,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Fault in equipment or appliance ,Electric Lighting -> Other incandescent light bulbs ,Electric,Furniture/Furnishings - Lampshades,Furniture/Furnishings - Lampshades,None,Small means -> Disconnection of fuel supply -> switched off,,no,,no,yes,,,,
1,July,2014,06:13:58,005542-01072014,365***,180***,S GLOS,WINTERBOURNE,Person (land line),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,
1,July,2014,07:29:08,005543-01072014,357***,174***,BRISTOL,CLIFTON,Person (land line),False Alarm,NonResidential,Building > Non Residential > Education > College/University,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
1,July,2014,08:01:20,005545-01072014,360***,171***,BRISTOL,WINDMILL HILL,Person (mobile),Fire,RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,"Accidental;  Overheating, unknown cause",Vehicles only -> Electrical fault ,Electric,Structural/Fixtures/Fitting s – Internal -> Wiring insulation,Structural/Fixtures/Fitting s – Internal -> Internal fittings,None,,,no,,no,,,,,
1,July,2014,09:14:21,005549-01072014,352***,177***,N SOM,EASTON-IN-GORDANO,Person (mobile),Fire,RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,"Accidental;  Overheating, unknown cause","Vehicles only -> Engine, fuel line or pump ",Not applicable,"Explosives, gas, chemicals -> Petrol/Oil products",None,None,,,no,,no,,,,,
1,July,2014,10:18:03,005555-01072014,361***,177***,BRISTOL,LOCKLEAZE,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,
1,July,2014,13:12:01,005562-01072014,365***,173***,S GLOS,WOODSTOCK,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Malicious False Alarm > Activation of fire call point/alarm,no,,,,,
1,July,2014,13:09:43,005561-01072014,360***,176***,BRISTOL,LOCKLEAZE,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Wasteland,no,Accidental,no,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,13:21:15,005563-01072014,369***,176***,S GLOS,BOYD VALLEY,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Release of person/s",yes,,yes,,0,0,1,0
1,July,2014,14:15:37,005566-01072014,353***,177***,BRISTOL,AVONMOUTH,Person (mobile),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
1,July,2014,13:52:11,005565-01072014,365***,191***,S GLOS,THORNBURY NORTH,Ambulance,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Release of person/s",yes,,yes,,0,0,1,0
1,July,2014,15:21:35,005569-01072014,337***,163***,N SOM,WESTON-SUPER-MARE SOUTH WORLE,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
1,July,2014,16:11:30,005578-01072014,372***,165***,BANES,TWERTON,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,
1,July,2014,16:03:38,005570-01072014,362***,184***,S GLOS,ALMONDSBURY,Person (mobile),Fire,RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Person running call,"Accidental;  Overheating, unknown cause",Not known,Not known,"Foam, rubber, plastic -> Plastic – raw material only","Foam, rubber, plastic -> Foam - raw material only",None,,,no,,no,,,,,
1,July,2014,16:56:57,005582-01072014,359***,172***,BRISTOL,CABOT,Police,Special Service,Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,"Rescue or evacuation from water, Person in water or at immediate risk of entering water, Person in pond, lake, loch (fully enclosed by land), or reservoir (still water)",no,,yes,,0,0,0,1
1,July,2014,16:14:20,005579-01072014,349***,175***,N SOM,CLEVEDON EAST,Person (land line),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,
1,July,2014,16:42:00,005581-01072014,359***,168***,BRISTOL,WHITCHURCH PARK,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Grassland, pasture, grazing etc",no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
